#NAME,CDd1,CDd2,CDd3,GIDd1,GIDd2,GIDd3,CPa1,CPa2,CPa3,GIPa1,GIPa2,GIPa3,DPa1,DPa2,DPa3,PPa1,PPa2,PPa3,CSp1,CSp2,CSp3,GISp1,GISp2,GISp3,DSp1,DSp2,DSp3,PSp1,PSp2,PSp3
D-Pipecolicacid,1658567.907,113811.3157,88068.17892,34839.94506,133887.001,122306.0671,208941.6293,198330.266,44469.29845,92002.27762,135494.411,193009.3673,34721.83275,63366.53292,82203.52001,174597.4904,2128991.11,458854.1032,154516.6423,101775.9981,373728.4184,6016352.223,10037621.45,910836.6819,656407.0505,886772.2747,536582.9996,147022.7034,527259.8973,24659.25653
D-Proline,89751.87933,106503.3764,32115.26099,27644.9475,35695.04606,49932.45016,16043.40367,11789.176,6593.525907,26440.85187,20308.98302,33266.68407,26796.08776,32634.71197,20339.50166,264447.0844,100724.0096,86497.52846,36206.23116,12145.19233,8561.769695,138894.2757,149398.123,136882.6151,121731.9645,27140.81922,30050.60831,30585.65052,77059.05745,297913.3267
D-Serine,187.1157979,78.11739172,105.152501,113.216793,129.6813108,413.955288,77.88231308,82.01753922,72.41417273,123.0587585,83.52438647,84.6642382,86.38806042,80.45527611,84.23725552,12648.74835,1973.871336,47047.00169,299.5891147,209.6089913,145.9524448,21606.94609,33391.94386,25697.35739,84.76094208,3640.477515,98.19331237,107.1280011,240.8952099,176.3318869
Ethyl Paraben,78372.10905,80305.11721,123605.0382,30622.8345,19876.10865,12415.29878,24494.96337,10027.60663,6236.799543,31138.73886,7201.245892,6688.885896,10533.57997,18068.13952,13462.66296,119163.9621,153350.3931,124862.4538,1623.575571,7289.636535,7192.924734,87469.57807,94602.48744,328563.2886,3874.145965,17310.3143,11761.88845,14344.55008,10589.94713,93907.95486
Eugenol;4-Allylguaiacol,4028862.098,6092159.446,1360237.682,1408124.427,1873547.659,1199649.129,717761.2708,254512.0187,456399.729,1084604.312,1987806.335,1504395.796,1036308.128,1856049.466,855531.8367,13481607.33,3027137.651,5279144.847,78011.07622,81927.31591,256157.0376,4004899.047,2973136.891,3269079.928,247847.5277,349101.2478,916192.8669,701495.0968,161526.9804,1373810.367
Eugenolmethylether,409168.0571,261132.3315,230573.2687,159039.4536,205325.1356,81085.46812,71793.73432,162519.8972,32238.43564,47300.29517,163670.4668,52708.51135,143335.9554,130448.1586,51322.07208,429788.5972,70312.06217,499523.1518,44788.18458,32217.7401,89643.77282,461028.5601,332300.4898,515858.6132,94666.26476,196567.3886,65359.01087,129055.1492,164058.0689,189694.792
Gabaculine,14841.7746,7230.345388,1295.405688,453.8860582,1343.848421,1390.795837,2854.381677,2690.306037,1306.694746,4281.340612,3246.226444,3861.718572,404.5670038,632.2322701,652.3472265,24264.24088,67795.5117,85130.14594,385.8804239,1565.267127,635.650846,62967.60691,50453.40672,102768.8503,412.9970484,953.4137359,714.8885585,1420.344978,5512.497605,2481.311924
Gallicacid,13248.46463,12070.78009,9559.729903,8407.223244,7451.65737,23535.68564,7781.402159,4182.923608,4796.605736,9947.315542,81518.73902,17954.86435,6696.314249,7142.672566,24817.74177,16316.41136,16618.52638,22805.7226,3949.070298,5761.608954,5901.828676,17504.83287,16612.06331,16251.42939,4399.18651,6966.679204,5586.156883,5386.985035,9684.634692,7564.235644
gamma-Aminobutyric Acid,3737237.252,2362569.203,1271080.038,1319329.849,833882.4391,1152172.924,1298229.306,1389620.499,1170680.046,1361224.178,839256.174,701237.8422,872626.6642,1067909.639,792846.1035,3224713.887,3468130.88,3591970.796,1058800.068,2123605.735,1474896.881,4432420.31,3325057.288,1625664.701,1123260.216,1263033.462,683230.1373,1012259.946,2015602.198,1258973.574
gamma-Coniceine,14303.44787,53782.81127,3269.749122,3877.882021,7366.150139,4014.301058,6017.875664,2581.835536,1517.211916,5935.711514,5613.856972,1888.569381,88481.22507,9401.465692,11457.47564,36173.28448,79000.24811,24363.62081,1511.880581,1886.56894,1935.387454,16295.46919,12080.84909,20381.85264,1226.828542,1522.836091,2153.879896,1059.853175,16593.13722,6118.484467
Geranylacetate,77615.4457,42374.28737,51413.24225,33504.96447,34188.22447,44213.05098,15943.99435,27927.95002,28963.0395,26006.69523,50042.06305,61700.68605,22530.57672,14909.95832,25538.77571,88832.59726,95379.16109,72297.88873,5247.350481,7361.575174,19945.66491,46086.43629,88432.22855,63992.11293,17949.67517,35807.14951,32466.77207,28168.27623,49065.13307,40856.14038
Geranylhydroquinone,61421.71133,225696.2717,153669.751,60157.48575,12829.42915,90555.33034,9312.198186,8864.375323,7760.699552,25555.15538,9230.242034,26778.70662,12063.7522,15572.7839,8159.992717,47316.69461,39940.0721,51435.83608,5058.018601,24560.41846,11042.32426,63504.23543,42693.43898,52836.93363,9248.55626,20607.53983,7503.318127,13487.21618,43458.54896,22371.77881
GibberellinA12,191000.9061,83053.87855,13400.55085,13290.74985,11771.64775,14937.63085,9347.305098,9228.051447,10113.80335,10235.36922,8085.851033,9234.119382,10892.28615,10624.88583,8335.043402,51016.21852,25416.37632,33228.22203,4526.178508,6753.500117,8999.165121,25395.878,46236.52821,22401.87512,5519.05027,12942.19744,13514.98298,10721.12375,8658.141531,12754.84537
