Domain,Phylum,Class,Order,Family,Genus,Species,#NAME,Sediment,,,Water,,,,Algae,,,,,,,,,
,,,,,,,,DSD,PSD,CSD,DW,GIW,PW,CW,CDd,CPa,CSp,DPa,DSp,GIDd,GIPa,GISp,PPa,PSp
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina spongiae,Aquimarina spongiae,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,unclassified Aquimarina,Aquimarina sp. AD10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,unclassified Aquimarina,Aquimarina sp. Aq107,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,unclassified Aquimarina,Aquimarina sp. Aq78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,unclassified Aquimarina,Aquimarina sp. BL5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,unclassified Aquimarina,Aquimarina sp. I32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,unclassified Aquimarina,Aquimarina sp. MAR_2010_214,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,unclassified Aquimarina,Aquimarina sp. MMG016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,unclassified Aquimarina,Aquimarina sp. RZ0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,unclassified Aquimarina,Aquimarina sp. TRL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,unclassified Aquimarina,Aquimarina sp. U1-2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arenibacter,Arenibacter algicola,Arenibacter algicola,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arenibacter,Arenibacter certesii,Arenibacter certesii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicella,Arenicella chitinivorans,Arenicella chitinivorans,0,0,0,0,0,0,0,4,0,0,0,0,22,0,24,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicella,Arenicella xantha,Arenicella xantha,0,0,0,0,0,0,0,11,0,0,0,0,13,1,35,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureicoccus,Aureicoccus marinus,Aureicoccus marinus,0,0,112,0,0,0,0,1,0,0,0,0,0,0,0,0,0
